id,en,ko,refs
00A1A0, pts,점,pcrel@00A11E
00A1A6, pts,점,pcrel@00A16E
00A730,un-fall .....,미확인,pcrel@00A6CC
00B712, on, 휴가,pcrel@00B6AC
00B716,vacation,   중,pcrel@00B6C0
00B720, on, 휴가,pcrel@00B6EE
00B724,vacation,   중,pcrel@00B702
020376,rocketship windshield,로켓 앞유리,abs32@0202CE
02038C,left megawatt speaker,왼쪽 메가와트 스피커,abs32@0202D6
0203A2,super funkomatic amplamator,슈퍼 펑코매틱 앰플러메이터,abs32@0202DE
0203BE,amplamator connector fin,앰플러메이터 연결 핀,abs32@0202E6
0203D8,forward stabilizing unit,전방 안정화 장치,abs32@0202EE
0203F2,rear leg,뒷다리,abs32@0202F6
0203FC,awesome snowboard,멋진 스노보드,abs32@0202FE
02040E,righteous rapmaster capsule,랩마스터 캡슐,abs32@020306
02042A,right megawatt speaker,오른쪽 메가와트 스피커,abs32@02030E
020442,hyperfunk thruster,하이퍼펑크 추진기,abs32@020316
020570,Rocketship piece on this level,이 층에 로켓 부품이 있다,pcrel@0204C8
020590,Rocketship piece on toejam's level,토잼의 층에 로켓 부품이 있다,pcrel@0204E0
0205B4,Rocketship piece on earl's level,얼의 층에 로켓 부품이 있다,pcrel@0204F2
0205D6,no pieces on this level,이 층에는 부품이 없다,pcrel@020518
0205EE,no pieces on toejam's level,토잼의 층에는 부품이 없다,pcrel@02052E
02060A,no pieces on earl's level,얼의 층에는 부품이 없다,pcrel@020540 abs32@08BF96
020624, missing rocketship pieces,개의 부품이 남았다,pcrel@020560
020CBE,Jammin,잼잉,pcrel@020CA4
0213AE,Mail Order?,통신판매?,pcrel@0211F0
02167A,Got a buck?,1달러 있어?,pcrel@0214FA
021872,Got 2 bucks?,2달러 있어?,pcrel@02178E
021B8C,Got 3 bucks?,3달러 있어?,pcrel@021994
021F18,Can I play?,같이 할래?,pcrel@021DD2
021F24,Got a life?,목숨 있어?,pcrel@021DDC
0235CE,bogus ... game over,이런... 게임 오버,pcrel@0234FA
023A1E,need two controllers for two players,2인 플레이는 컨트롤러 2개 필요,pcrel@023928
023D8C,Burp,꺼억,pcrel@023D1A
02411E,chat,대화,pcrel@023F80
024124,giggle,킥킥,pcrel@023FD2
